bhaezan kheen kl subha 4 bje ke baat to nhe kr rhe... :p	17660	75137	../../NewData/BeingSalmanKhan_comment_07_17_18_03.txt	37128	883778841710320_884009065020631
Wow kya baat h itne comment maza aagya re baba re from khushi hasan nd my real name ruby hasan	28272	112624	../../NewData/BeingSalmanKhan_comment_07_17_18_03.txt	74615	878561238898747_878693208885550
salman sir aap sabhi ko bta do ki wo muslim wali baat sach nhi hai...humein pta hai ki aap aisa kuch b nhi kr skte	18370	77232	../../NewData/BeingSalmanKhan_comment_07_17_18_03.txt	39223	883778841710320_884035905017947
Onli modi sarkar	3002	19137	../../NewData/narendramodi_comment_07_16_18_22.txt	13532	10155903076865165_10155903321595165
Slman kya tm waqai musalman ho agr ho tu muslmano ke naam pr dhbba ho	26958	108439	../../NewData/BeingSalmanKhan_comment_07_17_18_03.txt	70430	879829985438539_880164868738384
supperrb salman khan..	4491	27232	../../NewData/BeingSalmanKhan_comment_07_16_18_35.txt	2201	886829718071899_886860918068779
Aa bhi jaa sanam ……… U na kr sitm ………… love u salmaan ……………plzzz jldi aa jaaao ………… :*	16397	71312	../../NewData/BeingSalmanKhan_comment_07_17_18_03.txt	33303	883778841710320_883964128358458
2o15 biggest flop flog filmo me se ek film hogi flop flop hogi aur koy musalmaan ye salman kutte ki film nahi dekhe ga	5860	32859	../../NewData/BeingSalmanKhan_comment_07_16_18_35.txt	7828	885331441555060_887051884716349
Salam Nadia Khan frm salman khan	23735	96273	../../NewData/BeingSalmanKhan_comment_07_17_18_03.txt	58264	883252978429573_883334481754756
Intaaha hogayi intazar ki aai na kuch khabar bhaijan ki	15013	66955	../../NewData/BeingSalmanKhan_comment_07_17_18_03.txt	28946	883778841710320_883918341696370
Hi sir, Aap online aao to sahi fir dekhte hain kon aapka cmt nahi dekhra ;)	17972	76008	../../NewData/BeingSalmanKhan_comment_07_17_18_03.txt	37999	883778841710320_884020955019442
Welcome modi jee	1461	11641	../../NewData/narendramodi_comment_07_16_18_22.txt	6036	10155908143610165_10155914230135165
